MCSID	FACTRY00	FIMDSCON	FIMDINCN	FIMDEMPN	FIMDHDDN	FIMDESTN	FIMDCRIN	FIMDLEDN	FINRURUR
M19492H	4	2	1	2	2	2	4	4	2
M19533Z	4	3	4	3	6	3	7	1	1
M19560C	4	9	9	9	8	9	6	10	1
M19565H	4	2	1	2	3	1	3	5	2
M19570E	4	6	6	6	8	3	9	5	2
M19593M	4	8	8	7	8	6	8	9	2
M19637G	4	4	5	6	5	3	5	5	1
M19644F	4	9	9	9	8	8	10	8	2
M19660F	4	4	4	4	2	8	1	5	2
M19680K	4	10	10	10	10	9	8	10	2
M19684P	4	2	3	3	4	2	8	2	1
M19688T	4	8	7	9	9	8	2	7	2
M19695S	4	3	4	5	1	3	3	5	2
M19709F	4	9	9	9	10	10	4	10	1
M19715D	4	9	9	9	10	10	4	10	1
M19729K	4	5	6	5	6	6	8	6	1
M19797X	4	5	4	6	7	5	5	5	1
M19846P	4	1	1	1	1	1	1	2	2
M19897A	4	10	9	9	10	9	7	10	2
M19926N	4	2	3	2	2	4	2	5	2
M20046G	4	8	8	7	8	6	8	9	2
M20121A	4	6	6	7	4	7	8	6	1
M20123C	4	1	2	1	1	1	1	1	2
M20124D	4	10	10	10	10	10	5	8	2
M20145J	4	8	8	9	10	7	9	6	1
M20147L	4	7	6	6	4	7	6	6	2
M20159Q	4	9	8	8	6	10	8	7	2
M20177S	4	9	9	9	8	9	6	10	1
M20258S	4	1	1	1	2	1	7	2	2
M20309L	4	4	4	4	2	8	1	5	2
M20414L	4	5	5	5	7	6	9	5	1
M20500H	4	1	1	1	2	3	6	2	2
M20523Q	4	7	5	7	8	5	8	8	2
M20549A	4	5	5	4	7	3	5	6	2
M20562X	4	1	2	2	1	1	1	3	2
M20569E	4	2	1	2	3	1	3	5	2
M20578F	4	7	6	7	6	8	1	7	2
M20599L	4	6	6	6	5	7	10	6	1
M20656C	4	1	1	1	1	1	1	2	2
M20663B	4	3	5	3	2	2	6	6	2
M20693H	4	7	6	6	10	6	10	6	1
M20697M	4	6	6	7	5	5	4	7	1
M20702R	4	9	9	9	8	9	6	10	1
M20704T	4	8	7	9	9	8	2	7	2
M20707W	4	8	8	9	10	7	9	6	1
M20759J	4	1	2	1	1	3	2	2	2
M20829F	4	2	3	2	4	6	1	1	2
M20871H	4	9	8	9	10	6	6	5	2
M20878Q	4	4	5	5	6	4	8	4	1
M20885P	4	7	7	7	9	8	5	8	1
M20886Q	4	3	3	4	10	2	9	3	1
M20913A	4	4	4	4	2	8	1	5	2
M20923C	4	3	3	3	3	1	4	3	2
M20981N	4	2	3	3	3	2	3	1	2
M20991Q	4	7	6	6	10	6	10	6	1
M21008E	4	1	1	1	1	1	6	1	2
M21045K	4	2	3	3	4	2	8	2	1
M21057P	4	9	10	9	8	9	9	8	2
M21150K	4	10	9	9	10	10	5	10	2
M21154P	4	8	8	8	9	10	1	3	2
M21175U	4	9	9	9	6	10	7	7	2
M21184V	4	3	4	2	4	2	3	3	2
M21192V	4	8	8	9	10	7	9	6	1
M21216L	4	7	6	6	4	7	10	5	2
M21228Q	4	4	3	4	9	4	10	6	1
M21233M	4	2	3	3	4	2	8	2	1
M21250N	4	3	3	2	4	4	3	3	2
M21251P	4	4	4	5	7	4	7	5	1
M21267X	4	10	10	10	8	10	5	10	2
M21363W	4	10	10	10	10	9	7	10	1
M21395E	4	6	6	6	5	7	10	6	1
M21403M	4	1	1	1	2	2	2	5	2
M21406Q	4	6	5	6	6	8	1	8	2
M21514T	4	5	6	5	6	6	8	6	1
M21515U	4	10	10	10	7	10	6	7	2
M21527Y	4	3	4	3	6	3	7	1	1
M21546B	4	7	7	7	8	7	10	8	1
M21560Z	4	3	4	3	5	3	7	1	1
M21571C	4	3	4	3	6	3	7	1	1
M21646E	4	5	4	6	7	4	10	3	1
M21650A	4	8	8	6	5	10	7	9	2
M21675K	4	2	2	2	4	3	6	2	1
M21677M	4	5	6	5	4	9	3	3	2
M21703W	4	5	6	5	6	6	8	6	1
M21712X	4	2	2	4	5	4	10	1	1
M21726D	4	4	5	4	7	3	9	4	1
M21735E	4	3	3	2	3	4	4	5	2
M21755J	4	1	1	1	1	1	5	1	2
M21768P	4	7	6	7	9	5	5	5	2
M21778R	4	1	1	1	1	2	2	1	2
M21811Z	4	4	4	4	2	8	1	5	2
M21819H	4	6	6	7	4	7	8	6	1
M21821B	4	3	2	4	5	3	5	3	1
M21824E	4	4	3	3	4	6	10	6	1
M21829K	4	4	3	4	9	4	10	6	1
M21847M	4	7	9	8	5	6	9	9	1
M21865P	4	10	10	10	7	10	8	10	2
M21895V	4	5	5	4	7	3	5	6	2
M21898Y	4	8	8	8	4	10	2	5	2
M21901A	4	6	6	5	9	6	10	4	1
M21928M	4	3	3	2	3	4	4	5	2
M21933J	4	2	3	2	6	1	6	1	2
M21939Q	4	4	5	5	6	4	8	4	1
M21953N	4	10	10	10	8	10	3	7	2
M21990T	4	3	3	2	4	7	10	7	1
M22036N	4	5	4	6	7	5	5	5	1
M22040J	4	3	2	4	6	3	6	6	2
M22091V	4	2	2	2	4	3	6	2	1
M22104H	4	6	6	6	7	5	5	3	2
M22117N	4	4	4	5	2	9	1	3	2
M22129S	4	3	4	3	3	3	5	3	1
M22132M	4	7	7	7	8	7	7	8	1
M22136R	4	4	5	6	5	3	5	5	1
M22143Q	4	5	4	6	7	5	5	5	1
M22145S	4	5	4	5	4	6	4	4	2
M22173W	4	10	10	10	10	9	9	10	2
M22235T	4	9	9	9	6	10	7	7	2
M22239X	4	5	3	4	7	7	2	9	2
M22255X	4	10	10	9	8	10	8	10	1
M22281Z	4	10	9	9	10	9	10	8	1
M22284C	4	1	2	2	1	1	1	3	2
M22309U	4	8	8	8	9	7	10	9	1
M22349C	4	4	4	4	2	8	1	5	2
M22388K	4	1	1	1	1	2	4	2	2
M22433X	4	10	9	9	10	10	9	10	2
M22462C	4	5	6	5	6	6	8	6	1
M22473F	4	2	2	2	2	3	2	4	2
M22495M	4	10	10	10	6	10	6	9	2
M22544D	4	7	9	8	5	6	9	9	1
M22548H	4	8	8	8	8	6	8	8	2
M22563G	4	2	3	2	6	1	6	1	2
M22572H	4	8	8	8	9	10	1	3	2
M22588R	4	6	7	5	8	7	9	7	1
M22610W	4	10	10	10	9	9	9	9	2
M22623B	4	5	3	3	4	7	5	8	2
M22692Q	4	5	6	5	10	4	10	2	1
M22761L	4	9	9	7	8	7	9	7	2
M22797Y	4	4	5	5	2	5	9	5	1
M22851M	4	9	10	9	8	9	9	8	2
M22857T	4	6	7	7	4	9	1	4	2
M22876W	4	2	2	2	2	1	1	3	2
M22928R	4	3	2	4	5	3	5	3	1
